title,link,date,source,number_of_characters_title,number_of_words_title,day_of_week,month,year,quarter,is_weekend,classes_str
"Google’s AI is the ‘worst’ for stealing content, says People CEO",https://news.google.com/rss/articles/CBMipgFBVV95cUxNY0lCNkcyS21vamMyM0UzWFFxdDV3dzZZQVlFNUZMY3ptR1owaGh6LVhGSURrMFkxWWd5S0dqQ1BSMjhhZkNtZjI0LUZEV3hubnFDam1HclhfQXJvUUNwWW1uTVBHX0pXWngtWmJ0TElRNFl2Z1pOQTFyVWNSWkNfTU9hYzhZbzMwRG1rUlJHX1Byd01HdlFSaFpPeElLRmFiNjk1enJR?oc=5,2025-09-11,Fortune,74,13,Thursday,September,2025,3,False,"Sentiment (Positive / Negative Feelings); Human Roles; Society, Ethics & Culture"
Powering the Next Wave of Enterprise Innovation: Mesh-AI Named OpenAI UK Services Partner,https://news.google.com/rss/articles/CBMitgFBVV95cUxOYlNnckMtdVR5Z2RRSnh5VlY5NURkRlN6VHlIRG9OM3AxZHRRNVFFMU9Fai1icXJMWFVfOU9RejQzT1p5WkwtcG1DNzV3N2dJMHFIM2ZLcmxLZjZKT05CNnlYU0VyZW1CQmRWUmtoSXVSLXJqcWVNWjZIWlpDYm9vV0VvQV9scFVJRktfTFpFV2VoR2NVckIwLTZWSktRRndET08wLVRlWVhMdHlyTEpWVElBSEx2dw?oc=5,2025-09-11,Silicon Canals,106,16,Thursday,September,2025,3,False,"Creativity, Expression & Identity; Work, Jobs & Economy"
AI a ‘strategic necessity’ law lecturer says,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNMTFybTAyLWZqRk83RlJyUm4yLWtCY2pjT29NY2tjM0FNdGNqcFJhajJ5RmtJSnVhcW5iNXlNbGhMNmo4MV9vMGgtMHRLcWxGLUdPV1NHSXp5U2JBYVAtSzdBeU5KcTVEdTlqZHZfb3ZqdkphNzRTdE9Fa3B5MEhEMDl0ZzhDYU1x?oc=5,2025-09-11,qlsproctor.com.au,64,9,Thursday,September,2025,3,False,"Society, Ethics & Culture"
Datacom sees AI agents as pivotal to legacy app modernisation,https://news.google.com/rss/articles/CBMirAFBVV95cUxQTEh5dy12NTd0X0VFNjh1WTlNbE9OU0lCcFZXS3lKYXhheXFQZzVxcFVBZkFUSjJVaHlSbXBzSWFBVVNfS1pzTnZjTDE1S2s2QzJlay14ZG5xZGFIbUJQd3JyZXh5ZTZyeGNXOWVZTHZGaGFXWnQ2NHo1UVZrelMyUndZYWJjdUQ3eGYxdnU2LWkycnhjbmtfOVNIc194Y3MwZ1pfRC1Gay1zYmth?oc=5,2025-09-11,ARNnet,70,12,Thursday,September,2025,3,False,"Routine, Lifestyle & Behavior"
"Student Blog: Startups, AI, and Lessons from Singapore",https://news.google.com/rss/articles/CBMijwFBVV95cUxNS3pPT2pWOFZmOTVESDhEaE41eE8wNUZRT1pmdlphRGZQcE81WnpQZ0MzRDZDTzBNdDFZR0gtcHpZYlNoMmZzNnJVdC1ORmd3MVQ1UlR4TzRiRkh1LS1NN2pKdjNBenhNeHkzWHBGUXg0ZmRmSTQwbmpNVVo2ZHFvclpjLWNUX3RXR2Z6QUpBaw?oc=5,2025-09-11,The University of Queensland,85,13,Thursday,September,2025,3,False,"Learning, Knowledge & Education"
PwC Australia launches agentic AI professional services on AWS Marketplace,https://news.google.com/rss/articles/CBMiekFVX3lxTE5iZ0JBYkFybTdkSHZ6SG8wRnZXNmJLalBqTE8xTzlqWTZHYnNCcWxKbDRWUU9jLWJkbE9JT0xaZjc4Nl9uTC04RUxwV2pqVVRLSUdXOUFNY0Nfb3FUNnhWVHNuT0JiNFctOGZUaFJNelVvX1cxbTFsRlNR?oc=5,2025-09-11,PwC Australia,90,13,Thursday,September,2025,3,False,Technology & Interaction
Content database specialist Giata Group acquires AI decisioning platform Smartseer,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPTGw1UGRIRThieldEdVFCaVhtZ0txMXI2ZnVuNVpPQjNfb2Jac1J1UkhjVmFWZ2JVYmU0bmg0QjlOSF9zb2lWV0xUSm5YTlh3WnZ6Y0hsZ3dZZ0xKdEVRckVzWkRSMVA1MmliMlY2SF9ZYUF6bkx3ams2RHpodWI0Rk01eGwyWjRt?oc=5,2025-09-11,PhocusWire,95,12,Thursday,September,2025,3,False,Sentiment (Positive / Negative Feelings)
Is Donald Trump's video on Charlie Kirk's shooting AI-generated? Internet questions authenticity,https://news.google.com/rss/articles/CBMi5gFBVV95cUxOdWNwNG1MY3RQSkF5eklDeHJfdzJxcHVqMjFJY053R01KanJ5ZEVUVG5HdzhpWEQ4enhYWGhsb3FTRm5ZM1hELUo4Zng0NTRQY1d5aTlpd2ZnTXBPVTNsamdMTENacG9yUV8tMjBaVVN4djlXSHkwVkpNNWNNVkhtNFhJV0J6d3dLamw2bUhRd0NqYk1oVDBVc0NpbEVydXZrS2ZvOGc2MjZfb0tMSF9pcXVUaVJGdTl6SUc5WEx4NjFqZlFUa1ExTlVRbU00SGpjaUIyell5ZFE3UkJOV3M1UEhlOEc4QdIB6wFBVV95cUxQdWQweGdQUGtvRTdZUS1RQWhKcEhEazFDbkhIbGx0eUtfX2RMRWpicDU0UTkxNTlBSDhXcUdvLURtMUptSFlXc0d6WnVtaF9YZG5ZdXlPU0UxSF9XeThlWFFsYWx6dC1LTUdYbXRYTlFPd1JWcmJ0YTdmT01kOWpXSzdibTdkMjJMTzVDRHlTeUFpUDlpMVU4djV5VzNONGFpdG00NjlLdXlKOTFZd3U4cHZ4elA2Vzh3Z1JfUjljODZUZVczNXdWWDFSZGRFX1dtdjlYcW9qOXl1bUUwTjdFWk96SHU4MXpncUFn?oc=5,2025-09-11,India TV News,112,16,Thursday,September,2025,3,False,"Creativity, Expression & Identity"
China chipmaking stocks rally tracking Oracle-fueled AI cheer,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPQjZuaTRPZFlNb0NPYVJjaE9uMGlCZTNwbks3OTA3Mk9SWHJaRVFINnlDTWxaUkdtMkFrb09UaE9jeWtpYm5kVDBmNlJtY3pwYjMtekloTHItQXFYU3M4eDlQQl9QT2NmVFBrYzdSMk9tUUpqQm5kZ2pQUERJaXN3Ul9vUVhYNGJ1UVZLbEt3RVp5cUdORDA3aDJOcUxrcTliVU5ISW15MGJZU2hCc1Rjc3FQWFhuSEhM?oc=5,2025-09-11,Investing.com,77,10,Thursday,September,2025,3,False,Technology & Interaction
Klarna 'course-correct' after aggressive AI adoption – reports,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPdGNOX3h0Sm11WWRwUGxKM09ZaGVBYjNWUFVwazBsVmlwQTV0SllsMlR5SkF4SmRsd216Y3ZSZGRIUEJncFRhNExjVFpXUXROc0NsZmU5RXFBLXNUZ0YxS3pTZzJVaTMxWC1vbHZvcVpVQWFKVnBnYzRSQWNNMkpfLXlib3lESzZBSDAzcEFPQlduYlRrV2l2N0FlblloM3prRDJoYmV1bzlub1FIVjV4TzdZNGlkakV5TlczS0tubGJGUQ?oc=5,2025-09-11,HRD America,76,11,Thursday,September,2025,3,False,Technology & Interaction
AI takes passenger seat in Career Center with Microsoft Copilot,https://news.google.com/rss/articles/CBMiogFBVV95cUxOYzRfQ3E0NjZtdlFBSElsSGlfRy1lOHhWMzBwRHA5TW1fSWsxT3Vfb1ZEd2RkVkNoaUJ4bDl4UnJfZ0xnbGE2cTZhOGg3bmpxb1ByY19qWHREUzZyWllLc05OM3paOUZxWG0zb0tXRi1IdnAyR1VNY08tYi1BVWpIeVI3NzV6QkU2ZDhuM2tkcXdMRFpRbW1GbkxULXBwSFlJRFHSAaoBQVVfeXFMT0I0QklmRTM2M0FULWNiMzA3eC1HbmdyYmQ0OV9qaWlnTS1PVVhGa1RZczdkdENjTjZBU01zY2t2VG5UVTJCNFo4WGRaTHhiS0IwZ2Vqc1hMa29vMndiYVMxNmR5SnVoWW1ycFgzYWY2NWtpeFdIbnQ3VkNJTmt6Z29VRVp5M1NPc1FWbGMxUDhURFhLbFZ4bnEtcTdBVWM4YzItQ2FfMHJ1Tmc?oc=5,2025-09-11,The Baylor Lariat,83,14,Thursday,September,2025,3,False,"Human Roles; Work, Jobs & Economy"
AI chatbot users report mental health issues,https://news.google.com/rss/articles/CBMid0FVX3lxTFBkOWFEaFNvOWZuM1ZEMF9ja2lxQjRmYWh6OHZmN1NldnlGZktkck5MRGVKTXhhOVAyTkZqazJNV1VuOWYyRnRWaTNGam45V1ZIQnFzVDk3TDFBX3NWTkJSVUtZelpxREt6bGt5dTJ0NkE0aWttWnpF?oc=5,2025-09-11,WBUR,51,9,Thursday,September,2025,3,False,"Social Interaction & Relationships; Health, Safety & Risk; Technology & Interaction"
